song_id,song_name,kind,t_start,t_end
6ad6903592cd668502c5f4546618aec807c6eadb974fa6437fef7180fbffddc2,Tere Bina [vocals],hook,63.48,90.13
ac59f8c4af7e89e916dc825690ade5dbc2b9c6f221c5a7ef863eb9863f3826e1,Father Ocean (Ben Böhmer Remix) [beat],drop,62.84,
ac59f8c4af7e89e916dc825690ade5dbc2b9c6f221c5a7ef863eb9863f3826e1,Father Ocean (Ben Böhmer Remix) [beat],drop,235.10,
ac59f8c4af7e89e916dc825690ade5dbc2b9c6f221c5a7ef863eb9863f3826e1,Father Ocean (Ben Böhmer Remix) [beat],hook,161.93,197.53
ae132f3a444f5121d75097a44110a0323365e6dc4a8d0736a924c00b2ac210c1,With You (AP Dhillon) [vocals],hook,53.25,84.25
bbab7b9f875f071f8e3b53aa73e64c02b3f39730d0a1feec48af6b54de501430,Der Lagi Lekin (ZNMD) [vocals],hook,18.74,51.11
c0c6ab91a06e24367e84874da81d4abc285779f50e8f1aeacf70a655cabceb0b,Don't Start Now (Dua Lipa) [vocals],hook,51.51,66.19
fedc95c90aff7c957f398f302a6a3ed4c7dbf48d7a6667c8294e0b4030355e20,Tujhe Bhula Diya (Anjaana Anjaani) [vocals],drop,83.62,
fedc95c90aff7c957f398f302a6a3ed4c7dbf48d7a6667c8294e0b4030355e20,Tujhe Bhula Diya (Anjaana Anjaani) [vocals],hook,58.69,81.47
0759b66b273f74c30d24e034340951afb8d5b783c2ffd0a1427a92a64cd93a4a,song 0759b66b…,drop,22.98,
0759b66b273f74c30d24e034340951afb8d5b783c2ffd0a1427a92a64cd93a4a,song 0759b66b…,drop,144.94,
0759b66b273f74c30d24e034340951afb8d5b783c2ffd0a1427a92a64cd93a4a,song 0759b66b…,drop,160.61,
0759b66b273f74c30d24e034340951afb8d5b783c2ffd0a1427a92a64cd93a4a,song 0759b66b…,hook,84.67,114.84
17bae5e9f6536bf861ed60e115214c053b2900734aeb6e964379be7d8d393380,song 17bae5e9…,drop,16.18,
17bae5e9f6536bf861ed60e115214c053b2900734aeb6e964379be7d8d393380,song 17bae5e9…,hook,62.77,78.58
2294a71524d7b0041a8f1c01f198a1e2ac4af4d1d1d39a6ac6f6ea695d7a6195,song 2294a715…,drop,26.82,
2294a71524d7b0041a8f1c01f198a1e2ac4af4d1d1d39a6ac6f6ea695d7a6195,song 2294a715…,hook,27.77,41.48
2471e18e1eb820114c0782501babac43b6e5b52c06254da4c1fe0d9e8369c406,song 2471e18e…,drop,346.61,
2471e18e1eb820114c0782501babac43b6e5b52c06254da4c1fe0d9e8369c406,song 2471e18e…,drop,440.93,
2471e18e1eb820114c0782501babac43b6e5b52c06254da4c1fe0d9e8369c406,song 2471e18e…,hook,95.06,150.48
2c17fc64b6928f0499a306402b676bc62e3118588e42494c8ec7063a7a948267,song 2c17fc64…,drop,84.11,
2c17fc64b6928f0499a306402b676bc62e3118588e42494c8ec7063a7a948267,song 2c17fc64…,hook,32.87,74.29
3e136647738dab95fc1c495542ae48de84125b19d932a98b561d044a22d5b27b,song 3e136647…,hook,41.25,56.77
43d69a281e6c1309694f624a5797cb3e265149238e9017ebae082f7b2d00466e,song 43d69a28…,hook,58.96,87.73
4e24629370d87c887e2c0d711e740d4aa0c28206e6de6b499ee436cd5e72d97f,song 4e246293…,drop,62.30,
4e24629370d87c887e2c0d711e740d4aa0c28206e6de6b499ee436cd5e72d97f,song 4e246293…,drop,96.18,
4e24629370d87c887e2c0d711e740d4aa0c28206e6de6b499ee436cd5e72d97f,song 4e246293…,hook,61.24,93.35
5406babe63c088d455b4b7765d583af5c3f474d2fb252e5bcd4dfac8e0ac27fe,song 5406babe…,hook,70.29,89.96
5cf2ce3275b2e0c96be93af399c6686fa3f2ef592071c62301a7211710e21e9b,song 5cf2ce32…,hook,3.95,15.00
6608cb4849db314c28a26843adcb94558afebe833020af010a7d8cb8f69d7fcb,song 6608cb48…,hook,14.30,76.69
73431441fb8cae90e084ca78b18c213fe7c58d7a51cfa39b786c9eceac0a9e5e,song 73431441…,hook,42.25,70.71
7f0b66c94d2be61f18a64485dba0a33b5f4387ccce2ff1b5d23aa7da469076eb,song 7f0b66c9…,drop,64.46,
7f0b66c94d2be61f18a64485dba0a33b5f4387ccce2ff1b5d23aa7da469076eb,song 7f0b66c9…,drop,304.41,
7f0b66c94d2be61f18a64485dba0a33b5f4387ccce2ff1b5d23aa7da469076eb,song 7f0b66c9…,drop,320.49,
8bfb93aa3d0c4d98de248f54f6815060bdeb75737e679f0840ac20128089ffae,song 8bfb93aa…,drop,14.19,
8bfb93aa3d0c4d98de248f54f6815060bdeb75737e679f0840ac20128089ffae,song 8bfb93aa…,hook,61.55,78.77
b8696c4dec8a4d50c2ee493360a868d46ffcc915a43b0fdfdbe30241d9962bef,song b8696c4d…,drop,2.21,
b8696c4dec8a4d50c2ee493360a868d46ffcc915a43b0fdfdbe30241d9962bef,song b8696c4d…,drop,33.59,
b8696c4dec8a4d50c2ee493360a868d46ffcc915a43b0fdfdbe30241d9962bef,song b8696c4d…,hook,33.23,50.62
c4b28366d0bd8a5dd0447d1dece9e204ae45f648ee066e0fc9bc04a068ba8b34,song c4b28366…,hook,46.40,65.54
d03b2a7ce799a865a7f133a24667ef11a2ba0af19c6946507ab36a4a517a888a,song d03b2a7c…,hook,48.68,69.50
db00a3cbadedb6445a749f3e83b3f3e6dcc9479c484b77cbe8cafe1ebbb684ed,song db00a3cb…,hook,25.00,81.75
df7427e3eabb1a96b6fbfaa3fe983dd42dc83a4469b66e9930a490c976e99026,song df7427e3…,drop,2.85,
e6722353c4251a3f9af0a76ab620b22f61fa6e385846ae67073debafa6acf1ad,Wake Me Up [beat],hook,38.78,69.81
fa79359d8ad718f8cbad693b42749b21a71eeba9e57e91c31295ac5062fbf0f6,song fa79359d…,drop,76.43,
fa79359d8ad718f8cbad693b42749b21a71eeba9e57e91c31295ac5062fbf0f6,song fa79359d…,hook,46.12,76.75
e6722353c4251a3f9af0a76ab620b22f61fa6e385846ae67073debafa6acf1ad,Wake Me Up [beat],drop,38.31,
e6722353c4251a3f9af0a76ab620b22f61fa6e385846ae67073debafa6acf1ad,Wake Me Up [beat],drop,93.09,
f61ea8edc6c56a0a1da0de64d26768618e6007262fbca7738d8571ccfa92c7fa,Faded [beat],drop,54.65,
