beat,vocal,ok,secs,error
Father Ocean (Ben Böhmer Remix),Don't Start Now (Dua Lipa),True,46.1,
Father Ocean (Ben Böhmer Remix),Der Lagi Lekin (ZNMD),True,47.6,
Father Ocean (Ben Böhmer Remix),Tujhe Bhula Diya (Anjaana Anjaani),True,40.9,
Father Ocean (Ben Böhmer Remix),With You (AP Dhillon),True,55.7,
Father Ocean (Ben Böhmer Remix),Tere Bina,True,46.1,
Father Ocean (Ben Böhmer Remix),Jugni Ji,True,34.2,
Father Ocean (Ben Böhmer Remix),Wari Jawa,True,47.6,
Father Ocean (Ben Böhmer Remix),Tere Bin,True,52.5,
Father Ocean (Ben Böhmer Remix),Mera Yaar,True,57.7,
Father Ocean (Ben Böhmer Remix),Khuda Jaane,False,49.4,"This pair didn't come out clean, so it wasn't shipped."
Father Ocean (Ben Böhmer Remix),Nadan Parinde,True,47.9,
Father Ocean (Ben Böhmer Remix),Uff Teri Ada,True,46.8,
Father Ocean (Ben Böhmer Remix),Dooriyan,True,58.4,
Father Ocean (Ben Böhmer Remix),How Deep Is Your Love,True,46.9,
Father Ocean (Ben Böhmer Remix),Bad Guy,True,43.5,
Father Ocean (Ben Böhmer Remix),Panda,True,42.2,
Father Ocean (Ben Böhmer Remix),Woh Lamhe Woh Baatein,True,62.9,
Father Ocean (Ben Böhmer Remix),Hum Pyaar Karne Wale,True,43.7,
I Adore You,Don't Start Now (Dua Lipa),True,61.5,
I Adore You,Der Lagi Lekin (ZNMD),True,37.7,
I Adore You,Tujhe Bhula Diya (Anjaana Anjaani),True,29.8,
I Adore You,With You (AP Dhillon),True,39.0,
I Adore You,Tere Bina,True,35.9,
I Adore You,Jugni Ji,True,23.5,
I Adore You,Wari Jawa,True,40.0,
I Adore You,Tere Bin,True,36.4,
I Adore You,Mera Yaar,True,24.5,
I Adore You,Khuda Jaane,False,10.2,"This pair didn't come out clean, so it wasn't shipped."
I Adore You,Nadan Parinde,True,34.9,
I Adore You,Uff Teri Ada,True,48.8,
I Adore You,Dooriyan,True,43.9,
I Adore You,How Deep Is Your Love,True,27.7,
I Adore You,Bad Guy,True,28.8,
I Adore You,Panda,True,25.5,
I Adore You,Woh Lamhe Woh Baatein,True,31.4,
I Adore You,Hum Pyaar Karne Wale,True,29.9,
Innerbloom (RÜFÜS DU SOL),Don't Start Now (Dua Lipa),True,45.0,
Innerbloom (RÜFÜS DU SOL),Der Lagi Lekin (ZNMD),True,58.8,
Innerbloom (RÜFÜS DU SOL),Tujhe Bhula Diya (Anjaana Anjaani),True,60.3,
Innerbloom (RÜFÜS DU SOL),With You (AP Dhillon),True,46.0,
Innerbloom (RÜFÜS DU SOL),Tere Bina,True,82.3,
Innerbloom (RÜFÜS DU SOL),Jugni Ji,True,60.1,
Innerbloom (RÜFÜS DU SOL),Wari Jawa,True,92.9,
Innerbloom (RÜFÜS DU SOL),Tere Bin,True,70.9,
Innerbloom (RÜFÜS DU SOL),Mera Yaar,True,66.8,
Innerbloom (RÜFÜS DU SOL),Khuda Jaane,True,64.8,
Innerbloom (RÜFÜS DU SOL),Nadan Parinde,True,90.8,
Innerbloom (RÜFÜS DU SOL),Uff Teri Ada,True,153.8,
Innerbloom (RÜFÜS DU SOL),Dooriyan,True,125.7,
Innerbloom (RÜFÜS DU SOL),How Deep Is Your Love,True,106.3,
Innerbloom (RÜFÜS DU SOL),Bad Guy,True,81.5,
Innerbloom (RÜFÜS DU SOL),Panda,True,67.7,
