song_key,song_name,kind,t_start,t_end
"Adam Port, Stryv - Move.mp3","Adam Port, Stryv - Move",drop,64.55,
"Adam Port, Stryv - Move.mp3","Adam Port, Stryv - Move",drop,104.17,
"Adam Port, Stryv - Move.mp3","Adam Port, Stryv - Move",hook,96.05,104.07
Ahmed Spins feat Stevo Atambire -  Anchor Point.mp3,Ahmed Spins feat Stevo Atambire -  Anchor Point,drop,31.87,
Ahmed Spins feat Stevo Atambire -  Anchor Point.mp3,Ahmed Spins feat Stevo Atambire -  Anchor Point,drop,85.25,
Ahmed Spins feat Stevo Atambire -  Anchor Point.mp3,Ahmed Spins feat Stevo Atambire -  Anchor Point,hook,85.27,99.17
Alice Deejay - Better Off Alone (Official Video).mp3,Alice Deejay - Better Off Alone (Official Video),drop,30.34,
Alice Deejay - Better Off Alone (Official Video).mp3,Alice Deejay - Better Off Alone (Official Video),drop,44.59,
Alice Deejay - Better Off Alone (Official Video).mp3,Alice Deejay - Better Off Alone (Official Video),hook,44.55,58.61
Avicii - Hey Brother.mp3,Avicii - Hey Brother,drop,34.99,
Avicii - Hey Brother.mp3,Avicii - Hey Brother,hook,34.85,63.90
Avicii - Levels (1).mp3,Avicii - Levels (1),drop,7.55,
Avicii - Levels (1).mp3,Avicii - Levels (1),drop,53.57,
Avicii - Levels (1).mp3,Avicii - Levels (1),hook,84.42,114.53
Avicii - Wake Me Up (Official Video) (1).mp3,Avicii - Wake Me Up (Official Video) (1),drop,39.04,
Avicii - Wake Me Up (Official Video) (1).mp3,Avicii - Wake Me Up (Official Video) (1),drop,93.42,
Avicii - Wake Me Up (Official Video) (1).mp3,Avicii - Wake Me Up (Official Video) (1),hook,39.09,54.18
Benny Benassi - Satisfaction.mp3,Benny Benassi - Satisfaction,drop,33.97,
Benny Benassi - Satisfaction.mp3,Benny Benassi - Satisfaction,hook,34.02,46.70
Boney M. - Rasputin (Sopot Festival 1979).mp3,Boney M. - Rasputin (Sopot Festival 1979),drop,48.39,
Boney M. - Rasputin (Sopot Festival 1979).mp3,Boney M. - Rasputin (Sopot Festival 1979),drop,103.81,
Boney M. - Rasputin (Sopot Festival 1979).mp3,Boney M. - Rasputin (Sopot Festival 1979),hook,55.96,87.20
Breathing (Extended Mix).mp3,Breathing (Extended Mix),drop,63.21,
Breathing (Extended Mix).mp3,Breathing (Extended Mix),drop,94.73,
Breathing (Extended Mix).mp3,Breathing (Extended Mix),hook,94.77,126.01
Calvin Harris - Feel So Close (Official Video).mp3,Calvin Harris - Feel So Close (Official Video),drop,72.07,
Calvin Harris - Feel So Close (Official Video).mp3,Calvin Harris - Feel So Close (Official Video),drop,86.92,
Calvin Harris - Feel So Close (Official Video).mp3,Calvin Harris - Feel So Close (Official Video),hook,42.62,72.08
Calvin Harris - Summer (Official Video).mp3,Calvin Harris - Summer (Official Video),drop,16.23,
Calvin Harris - Summer (Official Video).mp3,Calvin Harris - Summer (Official Video),drop,61.33,
Calvin Harris - Summer (Official Video).mp3,Calvin Harris - Summer (Official Video),hook,16.34,46.27
Calvin Harris & Disciples - How Deep Is Your Love.mp3,Calvin Harris & Disciples - How Deep Is Your Love,drop,62.82,
Calvin Harris & Disciples - How Deep Is Your Love.mp3,Calvin Harris & Disciples - How Deep Is Your Love,drop,94.31,
Calvin Harris & Disciples - How Deep Is Your Love.mp3,Calvin Harris & Disciples - How Deep Is Your Love,hook,62.84,79.89
"Calvin Harris, Rihanna - This Is What You Came For (Official Video).mp3","Calvin Harris, Rihanna - This Is What You Came For (Official Video)",drop,31.86,
"Calvin Harris, Rihanna - This Is What You Came For (Official Video).mp3","Calvin Harris, Rihanna - This Is What You Came For (Official Video)",drop,63.03,
"Calvin Harris, Rihanna - This Is What You Came For (Official Video).mp3","Calvin Harris, Rihanna - This Is What You Came For (Official Video)",hook,31.91,62.90
Camelphat & Elderbrook Cola.mp3,Camelphat & Elderbrook Cola,drop,126.74,
Camelphat & Elderbrook Cola.mp3,Camelphat & Elderbrook Cola,drop,141.16,
Camelphat & Elderbrook Cola.mp3,Camelphat & Elderbrook Cola,hook,126.75,141.16
David Guetta - Titanium ft. Sia (Official Video) (3).mp3,David Guetta - Titanium ft. Sia (Official Video) (3),drop,46.84,
David Guetta - Titanium ft. Sia (Official Video) (3).mp3,David Guetta - Titanium ft. Sia (Official Video) (3),drop,76.39,
David Guetta - Titanium ft. Sia (Official Video) (3).mp3,David Guetta - Titanium ft. Sia (Official Video) (3),hook,46.82,76.39
David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,David Guetta Feat. Akon - Sexy Chick (Official Video),drop,55.32,
David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,David Guetta Feat. Akon - Sexy Chick (Official Video),drop,84.77,
David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,David Guetta Feat. Akon - Sexy Chick (Official Video),hook,55.31,84.78
David Guetta Feat. Kid Cudi - Memories (Official Video).mp3,David Guetta Feat. Kid Cudi - Memories (Official Video),drop,15.36,
David Guetta Feat. Kid Cudi - Memories (Official Video).mp3,David Guetta Feat. Kid Cudi - Memories (Official Video),hook,15.34,45.62
"Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video).mp3","Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video)",drop,23.58,
"Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video).mp3","Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video)",drop,54.23,
